"name","code","plannedCost","periods","actualCostPeriod"
"Facility Engineering Revalidation","04-01-10-01",82117.33,105,3653.42
"Geotechnical Engineering","04-01-10-02",17659.95,105,320.4
"TID Inspector and Testing","04-01-12-02",250000,105,3396.58
"Commissioning Services Design Support","04-02-05-03-01",28250,105,-2500
"Geotechnical Services","04-02-05-04-01",850000,105,7260.5
"Print","04-06-11-02",33442.79,105,2315.35
"Project Management Lead Revalidation","04-01-01-01",230631.59,106,3555
"Project Management Support Revalidation","04-01-01-02",489669.35,106,12123.06
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,106,6265.55
"FPD Project Support Revalidation","04-01-01-04",44738.26,106,183
"FPD Architecture Support Revalidation","04-01-01-05",41863.47,106,78.56
"Landscape Architect","04-01-01-11",28634.69,106,443.46
"Facility Engineering Revalidation","04-01-10-01",82117.33,106,11833.7
"Geotechnical Engineering","04-01-10-02",17659.95,106,400.5
"TID Inspector and Testing","04-01-12-02",250000,106,15995.65
"Commissioning Services Design Support","04-02-05-03-01",28250,106,6500
"Geotechnical Services","04-02-05-04-01",850000,106,129531
"Indigenous Monitoring Internal","04-06-04-01",203800,106,89600
"Project Management Lead Revalidation","04-01-01-01",230631.59,107,9085
"Project Management Support Revalidation","04-01-01-02",489669.35,107,25487.62
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,107,6533.1
"FPD Project Support Revalidation","04-01-01-04",44738.26,107,695.4
"Landscape Architect","04-01-01-11",28634.69,107,1211.48
"Facility Engineering Revalidation","04-01-10-01",82117.33,107,6562.33
"Geotechnical Engineering","04-01-10-02",17659.95,107,439.85
"TID Design and Procurement Support","04-01-10-05",10000,107,79.75
"TID Inspector and Testing","04-01-12-02",250000,107,4914.64
"Project Management Lead Revalidation","04-01-01-01",230631.59,108,8058
"Project Management Support Revalidation","04-01-01-02",489669.35,108,22566.4
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,108,5848.68
"FPD Project Support Revalidation","04-01-01-04",44738.26,108,512.4
"Landscape Architect","04-01-01-11",28634.69,108,661.1
"Facility Engineering Revalidation","04-01-10-01",82117.33,108,5388.34
"Geotechnical Engineering","04-01-10-02",17659.95,108,719.75
"TID Inspector and Testing","04-01-12-02",250000,108,22460.5
"Geotechnical Services","04-02-05-04-01",850000,108,23773.25
"Internal IT Costs","04-06-04-04",3875.08,108,341.7
"Project Management Lead Revalidation","04-01-01-01",230631.59,109,13035
"Project Management Support Revalidation","04-01-01-02",489669.35,109,25378.07
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,109,9612.99
"FPD Project Support Revalidation","04-01-01-04",44738.26,109,605.73
"Landscape Architect","04-01-01-11",28634.69,109,2579.25
"Facility Engineering Revalidation","04-01-10-01",82117.33,109,5417.69
"Geotechnical Engineering","04-01-10-02",17659.95,109,159.94
"TID Inspector and Testing","04-01-12-02",250000,109,4412.29
"Geotechnical Services","04-02-05-04-01",850000,109,57672.75
"Roofing Consultant","04-02-05-05-01",41595,109,600
"Internal IT Costs","04-06-04-04",3875.08,109,237.73
"Project Management Lead Revalidation","04-01-01-01",230631.59,110,10744
"Project Management Support Revalidation","04-01-01-02",489669.35,110,23041.09
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,110,11075.16
"FPD Project Support Revalidation","04-01-01-04",44738.26,110,817.52
"Landscape Architect","04-01-01-11",28634.69,110,480.56
"Facility Engineering Revalidation","04-01-10-01",82117.33,110,4449.48
"Geotechnical Engineering","04-01-10-02",17659.95,110,479.84
"TID Inspector and Testing","04-01-12-02",250000,110,9716.27
"Geotechnical Services","04-02-05-04-01",850000,110,11926.5
"Indigenous Monitoring Internal","04-06-04-01",203800,110,73600
"Internal IT Costs","04-06-04-04",3875.08,110,3295.65
"Project Management Lead Revalidation","04-01-01-01",230631.59,111,9756.5
"Project Management Support Revalidation","04-01-01-02",489669.35,111,26290.92
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,111,5973.12
"FPD Project Support Revalidation","04-01-01-04",44738.26,111,1970.91
"Landscape Architect","04-01-01-11",28634.69,111,776.2
"Facility Engineering Revalidation","04-01-10-01",82117.33,111,9273.31
"Geotechnical Engineering","04-01-10-02",17659.95,111,639.78
"TID Inspector and Testing","04-01-12-02",250000,111,8997.78
"Geotechnical Services","04-02-05-04-01",850000,111,20459.75
"Indigenous Monitoring Internal","04-06-04-01",203800,111,-69450
"Print","04-06-11-02",33442.79,111,179
"Project Management Lead Revalidation","04-01-01-01",230631.59,112,8216
"Project Management Support Revalidation","04-01-01-02",489669.35,112,23990.5
"Co-op Engineering Student Revalidation","04-01-01-03",178525.23,112,8641.62
"FPD Project Support Revalidation","04-01-01-04",44738.26,112,366
"Landscape Architect","04-01-01-11",28634.69,112,852.3
"Facility Engineering Revalidation","04-01-10-01",82117.33,112,6959.95
"Geotechnical Engineering","04-01-10-02",17659.95,112,479.83
"TID Design and Procurement Support","04-01-10-05",10000,112,159.5
"TID Inspector and Testing","04-01-12-02",250000,112,8463.21
"Geotechnical Services","04-02-05-04-01",850000,112,39846.5
"Internal IT Costs","04-06-04-04",3875.08,112,1297.3
"Project Management Lead Build","04-01-01-06",470204.14,113,4266
"Project Management Support Build","04-01-01-07",1591285.51,113,25085.94
"Co-op Engineering Student Build","04-01-01-08",432031.63,113,9301.89
"Facility Planning and Development Project Support Build","04-01-01-09",50827.25,113,366
"Landscape Architect","04-01-01-11",28634.69,113,613.92
"Geotechnical Engineering","04-01-10-02",17659.95,113,359.87
"Facility Engineering Build","04-01-10-04",83427.52,113,6925.47
"TID Inspector and Testing","04-01-12-02",250000,113,14825.26
"Geotechnical Services","04-02-05-04-01",850000,113,55568.25
"Print","04-06-11-02",33442.79,113,1272.84
"Project Management Lead Build","04-01-01-06",470204.14,114,11218
"Project Management Support Build","04-01-01-07",1591285.51,114,25816.28
"Co-op Engineering Student Build","04-01-01-08",432031.63,114,9578.98
"Facility Planning and Development Project Support Build","04-01-01-09",50827.25,114,538.02
"Facility Planning and Development Architecture Support Build","04-01-01-10",16364.71,114,993.84
"Geotechnical Engineering","04-01-10-02",17659.95,114,119.96
"Facility Engineering Build","04-01-10-04",83427.52,114,5561.01
"TID Inspector and Testing","04-01-12-02",250000,114,31181.13
"Geotechnical Services","04-02-05-04-01",850000,114,38581.75
"Steel Inspection","04-02-05-07-01",75000,114,1220
"Project Management Lead Build","04-01-01-06",470204.14,115,5964.5
"Project Management Support Build","04-01-01-07",1591285.51,115,25524.17
"Co-op Engineering Student Build","04-01-01-08",432031.63,115,8866.35
"Facility Planning and Development Project Support Build","04-01-01-09",50827.25,115,329.4
"Landscape Architect","04-01-01-11",28634.69,115,700.1
"Geotechnical Engineering","04-01-10-02",17659.95,115,39.99
"Facility Engineering Build","04-01-10-04",83427.52,115,2349.4
"TID Inspector and Testing","04-01-12-02",250000,115,9262.94
"Commissioning Services Design Support","04-02-05-03-01",28250,115,22500
"Geotechnical Services","04-02-05-04-01",850000,115,58646.25
"Indigenous Monitoring Internal","04-06-04-01",203800,115,73600
